Ligand,Binding Affinity,rmsd/ub, rmsd/lb
P_Gallic_acid_uff_E=90.74,-5.1,0.0,0.0
P_Gallic_acid_uff_E=90.74,-5.1,2.421,0.087
P_Gallic_acid_uff_E=90.74,-4.9,7.978,4.903
P_Gallic_acid_uff_E=90.74,-4.8,7.727,4.905
P_Gallic_acid_uff_E=90.74,-4.8,4.431,1.908
P_Gallic_acid_uff_E=90.74,-4.8,4.916,1.933
P_Gallic_acid_uff_E=90.74,-4.7,3.918,1.132
P_Gallic_acid_uff_E=90.74,-4.7,7.058,4.928
P_Gallic_acid_uff_E=90.74,-4.7,7.121,4.877
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.8,0.0,0.0
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.8,4.583,1.113
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.3,2.052,1.819
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.3,7.924,6.935
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.3,8.351,6.539
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.2,4.265,1.469
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.2,4.172,1.683
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.2,7.685,6.762
P_4-Hydroxybenzoic_acid_uff_E=143.39,-4.1,6.018,4.4
P_Caffeic_acid_uff_E=94.59,-5.5,0.0,0.0
P_Caffeic_acid_uff_E=94.59,-5.3,5.638,2.024
P_Caffeic_acid_uff_E=94.59,-5.2,5.859,1.566
P_Caffeic_acid_uff_E=94.59,-5.1,5.987,4.81
P_Caffeic_acid_uff_E=94.59,-5.1,7.09,5.272
P_Caffeic_acid_uff_E=94.59,-4.9,4.257,3.643
P_Caffeic_acid_uff_E=94.59,-4.8,5.799,1.925
P_Caffeic_acid_uff_E=94.59,-4.6,5.014,4.125
P_Caffeic_acid_uff_E=94.59,-4.5,6.301,4.181
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.4,0.0,0.0
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.3,2.275,1.558
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.2,6.356,5.493
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.0,5.067,3.674
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.0,6.038,5.228
P_3-hydroxycinnamic_acid_uff_E=85.91,-4.9,5.458,3.988
P_3-hydroxycinnamic_acid_uff_E=85.91,-4.6,3.216,2.621
P_3-hydroxycinnamic_acid_uff_E=85.91,-4.4,5.394,4.591
P_3-hydroxycinnamic_acid_uff_E=85.91,-4.2,6.737,4.682
P_Salicylic_acid_uff_E=96.14,-5.6,0.0,0.0
P_Salicylic_acid_uff_E=96.14,-5.1,2.148,1.099
P_Salicylic_acid_uff_E=96.14,-5.0,3.095,1.099
P_Salicylic_acid_uff_E=96.14,-4.9,7.943,6.37
P_Salicylic_acid_uff_E=96.14,-4.8,3.342,2.363
