Ligand,Binding Affinity,rmsd/ub, rmsd/lb
P_Gallic_acid_uff_E=90.74,-6.5,0.0,0.0
P_Gallic_acid_uff_E=90.74,-6.5,2.421,0.119
P_Gallic_acid_uff_E=90.74,-6.4,4.492,1.4
P_Gallic_acid_uff_E=90.74,-6.3,4.003,1.302
P_Gallic_acid_uff_E=90.74,-5.6,3.613,1.389
P_Gallic_acid_uff_E=90.74,-5.6,3.703,1.406
P_Gallic_acid_uff_E=90.74,-5.5,2.354,1.499
P_Gallic_acid_uff_E=90.74,-5.0,3.327,2.424
P_Gallic_acid_uff_E=90.74,-5.0,4.253,2.703
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.8,0.0,0.0
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.8,1.534,0.033
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.7,4.026,1.47
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.5,2.043,0.972
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.5,4.239,1.382
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.3,4.164,1.053
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.2,2.446,1.714
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.2,2.161,1.548
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.0,3.982,2.085
P_Caffeic_acid_uff_E=94.59,-6.7,0.0,0.0
P_Caffeic_acid_uff_E=94.59,-6.5,5.954,1.415
P_Caffeic_acid_uff_E=94.59,-6.1,1.709,1.276
P_Caffeic_acid_uff_E=94.59,-6.0,1.854,0.876
P_Caffeic_acid_uff_E=94.59,-6.0,5.78,1.147
P_Caffeic_acid_uff_E=94.59,-5.7,2.288,1.882
P_Caffeic_acid_uff_E=94.59,-5.6,5.77,2.056
P_Caffeic_acid_uff_E=94.59,-5.5,6.073,2.352
P_Caffeic_acid_uff_E=94.59,-5.0,3.97,2.847
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.4,0.0,0.0
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.2,5.607,1.968
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.1,5.567,1.586
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.8,1.6,1.271
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.7,5.459,1.357
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.6,5.743,2.013
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.5,2.309,1.934
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.2,5.592,2.604
P_3-hydroxycinnamic_acid_uff_E=85.91,-4.8,5.685,2.024
P_Salicylic_acid_uff_E=96.14,-5.9,0.0,0.0
P_Salicylic_acid_uff_E=96.14,-5.5,2.256,1.378
P_Salicylic_acid_uff_E=96.14,-5.4,2.215,1.133
P_Salicylic_acid_uff_E=96.14,-5.3,4.374,2.989
P_Salicylic_acid_uff_E=96.14,-5.2,4.321,2.461
P_Salicylic_acid_uff_E=96.14,-5.2,3.534,2.827
P_Salicylic_acid_uff_E=96.14,-5.1,3.826,3.222
P_Salicylic_acid_uff_E=96.14,-5.1,5.041,3.696
P_Salicylic_acid_uff_E=96.14,-5.0,3.255,2.408
P_Ferulic_acid_uff_E=106.30,-6.7,0.0,0.0
P_Ferulic_acid_uff_E=106.30,-6.2,1.996,1.842
P_Ferulic_acid_uff_E=106.30,-5.7,5.79,2.306
P_Ferulic_acid_uff_E=106.30,-5.7,6.201,2.314
P_Ferulic_acid_uff_E=106.30,-5.4,2.594,2.259
P_Ferulic_acid_uff_E=106.30,-5.0,5.923,2.221
P_Ferulic_acid_uff_E=106.30,-4.8,6.138,3.482
P_Ferulic_acid_uff_E=106.30,-4.5,4.183,3.416
P_Ferulic_acid_uff_E=106.30,-4.4,5.929,3.167
P_Rutin_uff_E=705.49,-4.0,0.0,0.0
P_Rutin_uff_E=705.49,-1.5,5.541,1.641
P_Sinapic_acid_uff_E=132.83,-6.0,0.0,0.0
P_Sinapic_acid_uff_E=132.83,-6.0,3.052,0.11
P_Sinapic_acid_uff_E=132.83,-5.8,6.13,1.879
P_Sinapic_acid_uff_E=132.83,-5.8,5.611,1.906
P_Sinapic_acid_uff_E=132.83,-5.4,3.226,0.705
P_Sinapic_acid_uff_E=132.83,-5.1,5.613,2.004
P_Sinapic_acid_uff_E=132.83,-4.9,3.394,1.638
P_Sinapic_acid_uff_E=132.83,-4.8,1.454,1.272
P_Sinapic_acid_uff_E=132.83,-4.6,4.182,2.318
P_p-Coumaric_acid_uff_E=86.27,-6.5,0.0,0.0
P_p-Coumaric_acid_uff_E=86.27,-6.2,1.649,1.312
P_p-Coumaric_acid_uff_E=86.27,-6.1,5.72,1.081
P_p-Coumaric_acid_uff_E=86.27,-6.0,5.811,1.118
P_p-Coumaric_acid_uff_E=86.27,-5.6,5.884,1.691
P_p-Coumaric_acid_uff_E=86.27,-5.3,6.327,2.332
P_p-Coumaric_acid_uff_E=86.27,-5.1,2.336,1.423
P_p-Coumaric_acid_uff_E=86.27,-4.8,2.765,2.258
P_p-Coumaric_acid_uff_E=86.27,-4.6,3.718,2.988
P_Cinnamic_acid_uff_E=80.96,-6.3,0.0,0.0
P_Cinnamic_acid_uff_E=80.96,-6.3,1.465,0.122
P_Cinnamic_acid_uff_E=80.96,-5.9,5.286,3.583
P_Cinnamic_acid_uff_E=80.96,-5.0,6.143,4.587
P_Cinnamic_acid_uff_E=80.96,-4.8,4.151,3.338
P_Cinnamic_acid_uff_E=80.96,-4.8,5.552,3.822
P_Cinnamic_acid_uff_E=80.96,-4.7,1.74,1.316
P_Cinnamic_acid_uff_E=80.96,-4.5,5.974,4.499
P_Cinnamic_acid_uff_E=80.96,-4.5,3.623,2.972
P_Co-5M8M_uff_E=75.43,-5.8,0.0,0.0
P_Co-5M8M_uff_E=75.43,-5.5,3.335,1.377
P_Co-5M8M_uff_E=75.43,-5.4,2.146,1.093
P_Co-5M8M_uff_E=75.43,-5.4,3.994,1.231
P_Co-5M8M_uff_E=75.43,-5.3,4.435,1.714
P_Co-5M8M_uff_E=75.43,-5.3,4.012,1.764
P_Co-5M8M_uff_E=75.43,-5.2,2.196,1.243
P_Co-5M8M_uff_E=75.43,-5.2,2.457,1.74
P_Co-5M8M_uff_E=75.43,-5.1,4.414,1.314
P_co.,-5.8,0.0,0.0
P_co.,-5.5,2.553,1.481
P_co.,-5.4,2.127,1.613
P_co.,-5.4,4.009,1.291
P_co.,-5.3,4.428,1.64
P_co.,-5.3,2.134,1.286
P_co.,-5.1,4.091,1.713
P_co.,-4.7,5.332,3.824
P_co.,-4.7,3.15,2.226
