Ligand,Binding Affinity,rmsd/ub, rmsd/lb
P_Gallic_acid_uff_E=90.74,-6.5,0.0,0.0
P_Gallic_acid_uff_E=90.74,-6.3,5.065,2.579
P_Gallic_acid_uff_E=90.74,-6.2,2.438,0.344
P_Gallic_acid_uff_E=90.74,-6.2,5.533,2.584
P_Gallic_acid_uff_E=90.74,-6.1,7.693,5.99
P_Gallic_acid_uff_E=90.74,-6.0,9.189,6.702
P_Gallic_acid_uff_E=90.74,-6.0,9.181,7.328
P_Gallic_acid_uff_E=90.74,-6.0,9.058,7.278
P_Gallic_acid_uff_E=90.74,-5.9,7.854,5.908
P_4-Hydroxybenzoic_acid_uff_E=143.39,-6.1,0.0,0.0
P_4-Hydroxybenzoic_acid_uff_E=143.39,-6.1,4.253,2.758
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.9,3.514,2.461
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.9,4.462,1.224
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.8,3.251,2.454
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.7,4.383,2.048
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.7,4.594,0.956
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.5,6.368,3.176
P_4-Hydroxybenzoic_acid_uff_E=143.39,-5.5,2.3,1.872
P_Caffeic_acid_uff_E=94.59,-7.3,0.0,0.0
P_Caffeic_acid_uff_E=94.59,-6.8,6.074,1.552
P_Caffeic_acid_uff_E=94.59,-6.8,6.026,1.447
P_Caffeic_acid_uff_E=94.59,-6.7,2.067,1.627
P_Caffeic_acid_uff_E=94.59,-6.6,2.023,1.785
P_Caffeic_acid_uff_E=94.59,-6.6,2.01,0.991
P_Caffeic_acid_uff_E=94.59,-6.5,3.158,2.022
P_Caffeic_acid_uff_E=94.59,-6.5,6.729,2.527
P_Caffeic_acid_uff_E=94.59,-6.2,3.024,2.471
P_3-hydroxycinnamic_acid_uff_E=85.91,-7.0,0.0,0.0
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.7,5.955,2.554
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.6,5.689,1.787
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.5,1.783,1.404
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.4,5.508,1.893
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.2,5.414,2.091
P_3-hydroxycinnamic_acid_uff_E=85.91,-6.0,2.868,2.271
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.4,5.225,3.24
P_3-hydroxycinnamic_acid_uff_E=85.91,-5.3,3.872,2.894
P_Salicylic_acid_uff_E=96.14,-6.4,0.0,0.0
P_Salicylic_acid_uff_E=96.14,-6.2,3.457,1.977
P_Salicylic_acid_uff_E=96.14,-6.1,3.733,2.239
P_Salicylic_acid_uff_E=96.14,-6.0,2.269,1.77
P_Salicylic_acid_uff_E=96.14,-6.0,1.894,1.328
P_Salicylic_acid_uff_E=96.14,-5.8,2.514,0.979
P_Salicylic_acid_uff_E=96.14,-5.8,5.779,4.632
P_Salicylic_acid_uff_E=96.14,-5.7,4.308,3.48
P_Salicylic_acid_uff_E=96.14,-5.6,5.454,3.903
P_Ferulic_acid_uff_E=106.30,-6.9,0.0,0.0
P_Ferulic_acid_uff_E=106.30,-6.9,6.511,2.039
P_Ferulic_acid_uff_E=106.30,-6.8,2.166,1.82
P_Ferulic_acid_uff_E=106.30,-6.2,6.503,2.373
P_Ferulic_acid_uff_E=106.30,-5.8,2.305,1.566
P_Ferulic_acid_uff_E=106.30,-5.8,2.849,1.915
P_Ferulic_acid_uff_E=106.30,-5.7,6.17,1.923
