| Run on Sun Jul  5 14:35:08 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-446"
|Ligand mask:                    ":447"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1385.07         31.81      31.81         2.01       2.01
ANGLE                  3566.39         47.48      47.48         3.00       3.00
DIHED                  4601.13         26.95      26.95         1.70       1.70
VDWAALS               -3749.78         28.57      28.57         1.80       1.80
EEL                  -29858.14        121.99     121.99         7.70       7.70
1-4 VDW                1621.84         16.72      16.72         1.06       1.06
1-4 EEL               14326.48         60.69      60.69         3.83       3.83
EPB                   -4676.64         81.74      81.74         5.16       5.16
ENPOLAR                  95.60          1.23       1.23         0.08       0.08
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -8107.00        153.79     114.42         9.71       7.22
GSOLV                 -4581.04         81.74      81.34         5.16       5.13

TOTAL                -12688.04        174.17      65.68        10.99       4.15

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1380.86         31.78      31.78         2.01       2.01
ANGLE                  3560.73         47.34      47.34         2.99       2.99
DIHED                  4594.64         26.83      26.83         1.69       1.69
VDWAALS               -3743.02         27.82      27.82         1.76       1.76
EEL                  -29819.62        123.67     123.67         7.81       7.81
1-4 VDW                1617.43         16.72      16.72         1.06       1.06
1-4 EEL               14345.82         60.55      60.55         3.82       3.82
EPB                   -4660.26         83.97      83.97         5.30       5.30
ENPOLAR                  94.75          1.07       1.07         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -8063.16        154.87     116.18         9.78       7.33
GSOLV                 -4565.51         83.98      83.42         5.30       5.27

TOTAL                -12628.68        176.17      65.13        11.12       4.11

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      4.21          1.66       1.66         0.10       0.10
ANGLE                     5.66          1.85       1.85         0.12       0.12
DIHED                     6.49          2.15       2.15         0.14       0.14
VDWAALS                  -0.29          0.47       0.47         0.03       0.03
EEL                     -32.20          2.34       2.34         0.15       0.15
1-4 VDW                   4.42          0.61       0.61         0.04       0.04
1-4 EEL                 -19.34          1.56       1.56         0.10       0.10
EPB                     -26.72          1.11       1.11         0.07       0.07
ENPOLAR                   1.85          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    -31.06          4.40       3.77         0.28       0.24
GSOLV                   -24.87          1.11       1.11         0.07       0.07

TOTAL                   -55.93          4.53       3.38         0.29       0.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.62       0.00         0.10       0.00
ΔANGLE                   -0.00          1.71       0.00         0.11       0.00
ΔDIHED                   -0.00          2.03       0.00         0.13       0.00
ΔVDWAALS                 -6.46          0.27       5.72         0.02       0.36
ΔEEL                     -6.32          0.66       8.36         0.04       0.53
Δ1-4 VDW                 -0.00          0.61       0.00         0.04       0.00
Δ1-4 EEL                 -0.00          1.41       0.00         0.09       0.00
ΔEPB                     10.34          1.13      10.19         0.07       0.64
ΔENPOLAR                 -1.00          0.15       0.77         0.01       0.05
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -12.78          0.71      11.91         0.05       0.75
ΔGSOLV                    9.34          1.14       9.58         0.07       0.60

ΔTOTAL                   -3.44          1.35       3.39         0.08       0.21
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
