| Run on Sun Jul  5 14:40:47 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-157"
|Ligand mask:                    ":158"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    487.00         18.14      18.14         1.14       1.14
ANGLE                  1282.04         25.86      25.86         1.63       1.63
DIHED                  1541.98         17.07      17.07         1.08       1.08
VDWAALS               -1179.58         16.95      16.95         1.07       1.07
EEL                   -9761.23        105.46     105.46         6.66       6.66
1-4 VDW                 553.78         10.09      10.09         0.64       0.64
1-4 EEL                5983.99         33.37      33.37         2.11       2.11
EPB                   -3249.84         87.71      87.71         5.54       5.54
ENPOLAR                  44.95          0.78       0.78         0.05       0.05
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1092.01        117.96     107.37         7.45       6.78
GSOLV                 -3204.89         87.71      87.42         5.54       5.52

TOTAL                 -4296.90        147.00      41.39         9.28       2.61

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    482.79         18.19      18.19         1.15       1.15
ANGLE                  1276.52         25.74      25.74         1.62       1.62
DIHED                  1535.29         17.00      17.00         1.07       1.07
VDWAALS               -1154.17         16.63      16.63         1.05       1.05
EEL                   -9705.50        105.61     105.61         6.67       6.67
1-4 VDW                 549.21         10.09      10.09         0.64       0.64
1-4 EEL                5999.19         33.42      33.42         2.11       2.11
EPB                   -3265.24         87.51      87.51         5.52       5.52
ENPOLAR                  45.65          0.79       0.79         0.05       0.05
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1016.67        118.03     107.58         7.45       6.79
GSOLV                 -3219.59         87.51      87.17         5.52       5.50

TOTAL                 -4236.26        146.93      41.48         9.27       2.62

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      4.21          1.65       1.65         0.10       0.10
ANGLE                     5.53          1.76       1.76         0.11       0.11
DIHED                     6.69          2.03       2.03         0.13       0.13
VDWAALS                  -0.25          0.45       0.45         0.03       0.03
EEL                     -33.82          1.97       1.97         0.12       0.12
1-4 VDW                   4.58          0.63       0.63         0.04       0.04
1-4 EEL                 -15.20          1.56       1.56         0.10       0.10
EPB                     -25.96          0.60       0.60         0.04       0.04
ENPOLAR                   1.84          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    -28.28          4.10       2.93         0.26       0.18
GSOLV                   -24.11          0.60       0.60         0.04       0.04

TOTAL                   -52.39          4.15       2.91         0.26       0.18

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.60       0.00         0.10       0.00
ΔANGLE                   -0.00          1.64       0.00         0.10       0.00
ΔDIHED                    0.00          1.95       0.00         0.12       0.00
ΔVDWAALS                -25.16          0.14       2.27         0.01       0.14
ΔEEL                    -21.91          1.83       6.21         0.12       0.39
Δ1-4 VDW                 -0.00          0.63       0.00         0.04       0.00
Δ1-4 EEL                  0.00          1.51       0.00         0.10       0.00
ΔEPB                     41.35          0.40       4.63         0.03       0.29
ΔENPOLAR                 -2.55          0.01       0.09         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -47.06          1.83       6.25         0.12       0.39
ΔGSOLV                   38.81          0.40       4.66         0.03       0.29

ΔTOTAL                   -8.26          1.88       5.28         0.12       0.33
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
