| Run on Mon Jul  6 18:53:08 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-446"
|Ligand mask:                    ":447"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1391.19         30.23      30.23         1.91       1.91
ANGLE                  3571.79         47.18      47.18         2.98       2.98
DIHED                  4591.47         27.51      27.51         1.74       1.74
VDWAALS               -3747.44         26.68      26.68         1.68       1.68
EEL                  -29789.90        104.38     104.38         6.59       6.59
1-4 VDW                1623.07         16.21      16.21         1.02       1.02
1-4 EEL               14262.14         56.67      56.67         3.58       3.58
EPB                   -4679.01         84.04      84.04         5.30       5.30
ENPOLAR                  94.94          1.17       1.17         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -8097.68        137.76     111.94         8.70       7.07
GSOLV                 -4584.07         84.04      83.45         5.30       5.27

TOTAL                -12681.75        161.37      66.93        10.19       4.22

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1386.54         30.20      30.20         1.91       1.91
ANGLE                  3563.77         47.06      47.06         2.97       2.97
DIHED                  4584.80         27.41      27.41         1.73       1.73
VDWAALS               -3726.50         26.30      26.30         1.66       1.66
EEL                  -29754.33        103.62     103.62         6.54       6.54
1-4 VDW                1618.12         16.16      16.16         1.02       1.02
1-4 EEL               14289.22         56.59      56.59         3.57       3.57
EPB                   -4679.63         83.51      83.51         5.27       5.27
ENPOLAR                  95.56          1.13       1.13         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -8038.38        137.01     111.11         8.65       7.01
GSOLV                 -4584.07         83.52      82.96         5.27       5.24

TOTAL                -12622.45        160.46      66.76        10.13       4.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      4.65          1.72       1.72         0.11       0.11
ANGLE                     8.02          2.14       2.14         0.14       0.14
DIHED                     6.66          2.10       2.10         0.13       0.13
VDWAALS                  -0.14          0.58       0.58         0.04       0.04
EEL                     -24.58          2.87       2.87         0.18       0.18
1-4 VDW                   4.95          0.67       0.67         0.04       0.04
1-4 EEL                 -27.08          1.36       1.36         0.09       0.09
EPB                     -24.86          1.34       1.34         0.08       0.08
ENPOLAR                   2.01          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    -27.52          4.77       3.62         0.30       0.23
GSOLV                   -22.85          1.34       1.33         0.08       0.08

TOTAL                   -50.37          4.96       3.10         0.31       0.20

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.69       0.00         0.11       0.00
ΔANGLE                    0.00          2.02       0.00         0.13       0.00
ΔDIHED                   -0.00          1.99       0.00         0.13       0.00
ΔVDWAALS                -20.80          0.20       2.06         0.01       0.13
ΔEEL                    -10.99          2.11       4.12         0.13       0.26
Δ1-4 VDW                  0.00          0.62       0.00         0.04       0.00
Δ1-4 EEL                  0.00          1.28       0.00         0.08       0.00
ΔEPB                     25.48          0.81       3.44         0.05       0.22
ΔENPOLAR                 -2.63          0.01       0.08         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -31.79          2.12       4.26         0.13       0.27
ΔGSOLV                   22.85          0.81       3.41         0.05       0.21

ΔTOTAL                   -8.94          2.27       2.82         0.14       0.18
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
