| Run on Mon Jul  6 20:04:55 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-157"
|Ligand mask:                    ":158"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    497.72         18.10      18.10         1.14       1.14
ANGLE                  1305.46         25.14      25.14         1.59       1.59
DIHED                  1605.45         17.14      17.14         1.08       1.08
VDWAALS               -1205.50         23.75      23.75         1.50       1.50
EEL                   -9986.23         74.90      74.90         4.73       4.73
1-4 VDW                 567.98          9.92       9.92         0.63       0.63
1-4 EEL                6078.18         35.03      35.03         2.21       2.21
EPB                   -3152.15         64.78      64.78         4.09       4.09
ENPOLAR                  45.36          1.67       1.67         0.11       0.11
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1136.93         93.55      80.79         5.91       5.10
GSOLV                 -3106.79         64.80      64.15         4.09       4.05

TOTAL                 -4243.72        113.80      39.84         7.18       2.51

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    480.41         17.87      17.87         1.13       1.13
ANGLE                  1270.86         25.03      25.03         1.58       1.58
DIHED                  1539.98         16.74      16.74         1.06       1.06
VDWAALS               -1171.26         17.12      17.12         1.08       1.08
EEL                   -9871.06         75.18      75.18         4.75       4.75
1-4 VDW                 547.71          9.81       9.81         0.62       0.62
1-4 EEL                6025.92         35.21      35.21         2.22       2.22
EPB                   -3140.65         61.29      61.29         3.87       3.87
ENPOLAR                  44.59          0.63       0.63         0.04       0.04
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1177.44         92.23      75.98         5.82       4.80
GSOLV                 -3096.06         61.30      61.14         3.87       3.86

TOTAL                 -4273.49        110.74      38.59         6.99       2.44

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     17.32          3.67       3.67         0.23       0.23
ANGLE                    34.60          4.61       4.61         0.29       0.29
DIHED                    65.46          3.42       3.42         0.22       0.22
VDWAALS                  -2.54          2.12       2.12         0.13       0.13
EEL                     -89.63          7.20       7.20         0.45       0.45
1-4 VDW                  20.27          1.54       1.54         0.10       0.10
1-4 EEL                  52.26          3.70       3.70         0.23       0.23
EPB                     -57.73          4.20       4.20         0.26       0.26
ENPOLAR                   4.26          0.11       0.11         0.01       0.01
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     97.74         10.90       8.77         0.69       0.55
GSOLV                   -53.47          4.20       4.17         0.27       0.26

TOTAL                    44.27         11.68       6.59         0.74       0.42

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.44       0.00         0.22       0.00
ΔANGLE                   -0.00          4.50       0.00         0.28       0.00
ΔDIHED                    0.00          3.02       0.00         0.19       0.00
ΔVDWAALS                -31.70          4.52      14.81         0.28       0.93
ΔEEL                    -25.53          6.92      16.93         0.44       1.07
Δ1-4 VDW                  0.00          1.44       0.00         0.09       0.00
Δ1-4 EEL                 -0.00          3.52       0.00         0.22       0.00
ΔEPB                     46.23          0.71      23.38         0.05       1.48
ΔENPOLAR                 -3.50          0.93       1.60         0.06       0.10
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -57.23          8.26      28.78         0.52       1.82
ΔGSOLV                   42.73          1.17      21.90         0.07       1.38

ΔTOTAL                  -14.50          8.35       8.13         0.53       0.51
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
