| Run on Mon Jul  6 18:59:55 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-216"
|Ligand mask:                    ":217"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    639.88         21.47      21.47         1.36       1.36
ANGLE                  1631.49         33.41      33.41         2.11       2.11
DIHED                  2130.06         18.92      18.92         1.19       1.19
VDWAALS               -1605.39         18.59      18.59         1.17       1.17
EEL                  -12079.31         58.08      58.08         3.67       3.67
1-4 VDW                 732.52         12.26      12.26         0.77       0.77
1-4 EEL                5556.07         37.41      37.41         2.36       2.36
EPB                   -2979.22         44.39      44.39         2.80       2.80
ENPOLAR                  53.39          1.07       1.07         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -2994.68         84.88      62.47         5.36       3.94
GSOLV                 -2925.83         44.40      44.11         2.80       2.78

TOTAL                 -5920.51         95.79      43.82         6.05       2.77

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    636.26         21.41      21.41         1.35       1.35
ANGLE                  1626.65         33.49      33.49         2.11       2.11
DIHED                  2125.97         18.90      18.90         1.19       1.19
VDWAALS               -1604.07         17.83      17.83         1.13       1.13
EEL                  -12119.44         55.55      55.55         3.51       3.51
1-4 VDW                 728.62         12.25      12.25         0.77       0.77
1-4 EEL                5660.68         37.16      37.16         2.35       2.35
EPB                   -2971.29         42.00      42.00         2.65       2.65
ENPOLAR                  52.56          0.91       0.91         0.06       0.06
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -2945.33         82.90      60.73         5.23       3.83
GSOLV                 -2918.73         42.01      41.86         2.65       2.64

TOTAL                 -5864.06         92.93      44.15         5.87       2.79

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      3.62          1.56       1.56         0.10       0.10
ANGLE                     4.84          1.68       1.68         0.11       0.11
DIHED                     4.09          1.59       1.59         0.10       0.10
VDWAALS                   3.00          1.49       1.49         0.09       0.09
EEL                      45.93          1.64       1.64         0.10       0.10
1-4 VDW                   3.90          0.54       0.54         0.03       0.03
1-4 EEL                -104.61          1.27       1.27         0.08       0.08
EPB                     -15.74          0.63       0.63         0.04       0.04
ENPOLAR                   1.48          0.01       0.01         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                    -39.23          3.82       2.82         0.24       0.18
GSOLV                   -14.26          0.63       0.63         0.04       0.04

TOTAL                   -53.49          3.87       2.65         0.24       0.17

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.50       0.00         0.09       0.00
ΔANGLE                   -0.00          1.60       0.00         0.10       0.00
ΔDIHED                   -0.00          1.57       0.00         0.10       0.00
ΔVDWAALS                 -4.33          0.73       4.47         0.05       0.28
ΔEEL                     -5.80          0.90       9.97         0.06       0.63
Δ1-4 VDW                 -0.00          0.53       0.00         0.03       0.00
Δ1-4 EEL                  0.00          1.02       0.00         0.06       0.00
ΔEPB                      7.81          1.75      10.99         0.11       0.69
ΔENPOLAR                 -0.65          0.14       0.64         0.01       0.04
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -10.12          1.16      12.90         0.07       0.81
ΔGSOLV                    7.16          1.76      10.54         0.11       0.67

ΔTOTAL                   -2.96          2.11       3.31         0.13       0.21
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
