| Run on Sun Jul  5 14:43:29 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-216"
|Ligand mask:                    ":217"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    646.58         24.26      24.26         1.53       1.53
ANGLE                  1641.58         32.75      32.75         2.07       2.07
DIHED                  2180.58         17.52      17.52         1.11       1.11
VDWAALS               -1636.59         19.39      19.39         1.22       1.22
EEL                  -11913.72         53.97      53.97         3.41       3.41
1-4 VDW                 739.93         12.04      12.04         0.76       0.76
1-4 EEL                5476.20         37.27      37.27         2.35       2.35
EPB                   -3160.00         40.19      40.19         2.54       2.54
ENPOLAR                  53.20          1.15       1.15         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -2865.44         82.40      60.17         5.20       3.80
GSOLV                 -3106.80         40.21      39.83         2.54       2.51

TOTAL                 -5972.24         91.69      42.78         5.79       2.70

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    636.63         23.94      23.94         1.51       1.51
ANGLE                  1622.62         32.52      32.52         2.05       2.05
DIHED                  2125.30         17.31      17.31         1.09       1.09
VDWAALS               -1596.82         19.11      19.11         1.21       1.21
EEL                  -12164.29         53.21      53.21         3.36       3.36
1-4 VDW                 727.43         11.95      11.95         0.75       0.75
1-4 EEL                5672.02         36.93      36.93         2.33       2.33
EPB                   -2956.31         39.48      39.48         2.49       2.49
ENPOLAR                  53.18          1.13       1.13         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -2977.12         81.44      59.68         5.14       3.77
GSOLV                 -2903.13         39.49      39.10         2.49       2.47

TOTAL                 -5880.25         90.51      42.60         5.71       2.69

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      9.96          2.48       2.48         0.16       0.16
ANGLE                    18.95          3.00       3.00         0.19       0.19
DIHED                    55.28          2.52       2.52         0.16       0.16
VDWAALS                  -6.15          0.87       0.87         0.06       0.06
EEL                     105.94          1.63       1.63         0.10       0.10
1-4 VDW                  12.50          1.11       1.11         0.07       0.07
1-4 EEL                -195.82          2.04       2.04         0.13       0.13
EPB                     -79.62          1.36       1.36         0.09       0.09
ENPOLAR                   3.18          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                      0.67          5.50       4.73         0.35       0.30
GSOLV                   -76.43          1.36       1.35         0.09       0.09

TOTAL                   -75.76          5.67       4.61         0.36       0.29

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          2.16       0.00         0.14       0.00
ΔANGLE                   -0.00          2.77       0.00         0.17       0.00
ΔDIHED                    0.00          2.31       0.00         0.15       0.00
ΔVDWAALS                -33.62          0.59       2.51         0.04       0.16
ΔEEL                    144.63          0.88       6.39         0.06       0.40
Δ1-4 VDW                  0.00          1.02       0.00         0.06       0.00
Δ1-4 EEL                  0.00          1.69       0.00         0.11       0.00
ΔEPB                   -124.08          0.64       6.75         0.04       0.43
ΔENPOLAR                 -3.16          0.00       0.10         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   111.00          1.06       6.81         0.07       0.43
ΔGSOLV                 -127.24          0.64       6.72         0.04       0.42

ΔTOTAL                  -16.24          1.24       2.53         0.08       0.16
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
