| Run on Mon Jul  6 18:51:57 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-446"
|Ligand mask:                    ":447"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1390.23         33.37      33.37         2.11       2.11
ANGLE                  3564.05         44.18      44.18         2.79       2.79
DIHED                  4598.46         27.79      27.79         1.75       1.75
VDWAALS               -3754.28         28.25      28.25         1.78       1.78
EEL                  -29959.42        103.08     103.08         6.51       6.51
1-4 VDW                1625.86         17.63      17.63         1.11       1.11
1-4 EEL               14434.53         57.40      57.40         3.62       3.62
EPB                   -4673.46         71.24      71.24         4.50       4.50
ENPOLAR                  94.57          0.95       0.95         0.06       0.06
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -8100.57        137.36     108.59         8.67       6.85
GSOLV                 -4578.89         71.24      70.95         4.50       4.48

TOTAL                -12679.45        154.74      69.84         9.77       4.41

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1386.79         33.50      33.50         2.11       2.11
ANGLE                  3557.20         44.19      44.19         2.79       2.79
DIHED                  4594.97         27.86      27.86         1.76       1.76
VDWAALS               -3739.33         28.12      28.12         1.77       1.77
EEL                  -29866.12        103.48     103.48         6.53       6.53
1-4 VDW                1622.53         17.64      17.64         1.11       1.11
1-4 EEL               14349.23         57.24      57.24         3.61       3.61
EPB                   -4675.46         71.31      71.31         4.50       4.50
ENPOLAR                  94.86          0.94       0.94         0.06       0.06
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -8094.74        137.61     109.06         8.69       6.88
GSOLV                 -4580.61         71.32      71.04         4.50       4.48

TOTAL                -12675.34        155.00      70.05         9.78       4.42

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      3.44          1.43       1.43         0.09       0.09
ANGLE                     6.85          1.78       1.78         0.11       0.11
DIHED                     3.49          1.26       1.26         0.08       0.08
VDWAALS                  -0.61          0.15       0.15         0.01       0.01
EEL                     -78.73          2.33       2.33         0.15       0.15
1-4 VDW                   3.34          0.57       0.57         0.04       0.04
1-4 EEL                  85.30          2.00       2.00         0.13       0.13
EPB                     -16.15          0.85       0.85         0.05       0.05
ENPOLAR                   1.52          0.01       0.01         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     23.07          4.07       2.71         0.26       0.17
GSOLV                   -14.63          0.85       0.84         0.05       0.05

TOTAL                     8.44          4.16       2.44         0.26       0.15

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.31       0.00         0.08       0.00
ΔANGLE                    0.00          1.77       0.00         0.11       0.00
ΔDIHED                    0.00          1.20       0.00         0.08       0.00
ΔVDWAALS                -14.34          0.01       2.08         0.00       0.13
ΔEEL                    -14.57          1.93       5.99         0.12       0.38
Δ1-4 VDW                  0.00          0.56       0.00         0.04       0.00
Δ1-4 EEL                  0.00          1.84       0.00         0.12       0.00
ΔEPB                     18.16          0.77       3.38         0.05       0.21
ΔENPOLAR                 -1.81          0.01       0.08         0.00       0.00
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -28.91          1.93       4.95         0.12       0.31
ΔGSOLV                   16.35          0.77       3.35         0.05       0.21

ΔTOTAL                  -12.56          2.08       3.03         0.13       0.19
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
