| Run on Sun Jul  5 14:36:46 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-157"
|Ligand mask:                    ":158"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    492.06         20.04      20.04         1.26       1.26
ANGLE                  1287.82         27.99      27.99         1.77       1.77
DIHED                  1568.53         16.31      16.31         1.03       1.03
VDWAALS               -1186.24         16.40      16.40         1.03       1.03
EEL                   -9995.50         80.93      80.93         5.11       5.11
1-4 VDW                 559.78          9.75       9.75         0.62       0.62
1-4 EEL                6181.57         38.29      38.29         2.42       2.42
EPB                   -3194.09         57.68      57.68         3.64       3.64
ENPOLAR                  46.23          0.82       0.82         0.05       0.05
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1091.98         99.15      76.14         6.26       4.81
GSOLV                 -3147.86         57.69      57.36         3.64       3.62

TOTAL                 -4239.84        114.71      40.75         7.24       2.57

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    481.00         19.92      19.92         1.26       1.26
ANGLE                  1266.86         27.66      27.66         1.75       1.75
DIHED                  1529.55         16.15      16.15         1.02       1.02
VDWAALS               -1152.73         15.82      15.82         1.00       1.00
EEL                   -9792.10         80.71      80.71         5.09       5.09
1-4 VDW                 547.82          9.63       9.63         0.61       0.61
1-4 EEL                6007.21         38.23      38.23         2.41       2.41
EPB                   -3205.25         57.89      57.89         3.65       3.65
ENPOLAR                  46.72          0.83       0.83         0.05       0.05
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -1112.40         98.70      76.18         6.23       4.81
GSOLV                 -3158.53         57.89      57.54         3.65       3.63

TOTAL                 -4270.93        114.42      40.26         7.22       2.54

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     11.06          2.81       2.81         0.18       0.18
ANGLE                    20.96          3.60       3.60         0.23       0.23
DIHED                    38.98          2.16       2.16         0.14       0.14
VDWAALS                  -4.03          1.43       1.43         0.09       0.09
EEL                    -169.53          4.39       4.39         0.28       0.28
1-4 VDW                  11.95          1.02       1.02         0.06       0.06
1-4 EEL                 174.37          3.15       3.15         0.20       0.20
EPB                     -35.58          2.04       2.04         0.13       0.13
ENPOLAR                   2.97          0.05       0.05         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     83.76          7.60       5.36         0.48       0.34
GSOLV                   -32.61          2.04       2.03         0.13       0.13

TOTAL                    51.16          7.87       4.86         0.50       0.31

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          2.69       0.00         0.17       0.00
ΔANGLE                    0.00          3.28       0.00         0.21       0.00
ΔDIHED                   -0.00          2.01       0.00         0.13       0.00
ΔVDWAALS                -29.47          0.85       3.72         0.05       0.23
ΔEEL                    -33.86          4.17       8.89         0.26       0.56
Δ1-4 VDW                 -0.00          0.90       0.00         0.06       0.00
Δ1-4 EEL                 -0.00          3.09       0.00         0.19       0.00
ΔEPB                     46.73          1.83       7.75         0.12       0.49
ΔENPOLAR                 -3.47          0.04       0.32         0.00       0.02
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -63.33          4.25       9.69         0.27       0.61
ΔGSOLV                   43.27          1.83       7.60         0.12       0.48

ΔTOTAL                  -20.07          4.63       4.89         0.29       0.31
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
